project_code|task_code|description|work_authorization_status
125501002|A10|GERENCIA DE PROYECTO|3
125501002|A20|GERENCIA/COORDINACION INGENIERIA|3
125501002|B09|PLANIFICACION Y CONTROL GENERAL|3
125501002|G09|GESTION DE LA CALIDAD ? GENERAL|3
125501002|H09|SISTEMAS DE COMPUTACION ? GENERAL|3
125501007|A10|GERENCIA DE PROYECTO|3
125501007|A20|GERENCIA/COORDINACION INGENIERIA|3
125501007|B09|PLANIFICACION Y CONTROL GENERAL|3
125501007|G09|GESTION DE LA CALIDAD ? GENERAL|3
125501007|H09|SISTEMAS DE COMPUTACION ? GENERAL|3
125501900|A10|GERENCIA DE PROYECTO|3
125501900|A20|GERENCIA/COORDINACION INGENIERIA|3
125501900|A99|GENERAL|3
125501900|B09|PLANIFICACION Y CONTROL GENERAL|3
125501900|G09|GESTION DE LA CALIDAD ? GENERAL|3
125501900|H09|SISTEMAS DE COMPUTACION ? GENERAL|3
128001090|A10|GERENCIA DE PROYECTO|3
128002090|A10|GERENCIA DE PROYECTO|3
128003090|A20|GERENCIA/COORDINACION INGENIERIA|3
128004090|A10|GERENCIA DE PROYECTO|3
128005090|A10|GERENCIA DE PROYECTO|3
128006090|A10|GERENCIA DE PROYECTO|3
128007090|A30|LIDERES DE PROYECTO|3
128008090|A10|GERENCIA DE PROYECTO|3
128009090|A10|GERENCIA DE PROYECTO|3
128010090|A10|GERENCIA DE PROYECTO|3
128011090|A10|GERENCIA DE PROYECTO|3
128012090|A10|GERENCIA DE PROYECTO|3
128013090|A10|GERENCIA DE PROYECTO|3
128014090|A10|GERENCIA DE PROYECTO|3
900000003|A10|GERENCIA DE PROYECTO|3
900000003|B09|PLANIFICACION Y CONTROL GENERAL|3
N00000006|A10|GERENCIA DE PROYECTO|3
N00000006|B09|PLANIFICACION Y CONTROL GENERAL|3
N00000006|C09|CIVIL / GENERAL|3
N00000007|A.1.1|Revisi¢n y an lisis de la informaci¢n. Program|3
N00000007|A.1.2|Revisi¢n y an lisis de la informaci¢n. Program|3
N00000009|A10|GERENCIA DE PROYECTO|3
N00000009|B09|PLANIFICACION Y CONTROL GENERAL|3
N00000009|C09|CIVIL / GENERAL|3
N00000009|M09|MECANICA / EQUIPOS / GENERAL|3
N00000009|P09|ACTIVIDADES GENERALES DE PROCESOS|3
N00000009|T09|TUBERIAS / GENERAL|3
N00000009|V49|DOCUMENTACION|3
N00000010|A10|GERENCIA DE PROYECTO|3
N00000010|B09|PLANIFICACION Y CONTROL GENERAL|3
N00000014|A10|GERENCIA DE PROYECTO|3
N00000015|B09|PLANIFICACION Y CONTROL GENERAL|3
N00000017|A10|GERENCIA DE PROYECTO|3
N00000018|A10|GERENCIA DE PROYECTO|3
N00000019|A10|GERENCIA DE PROYECTO|3
N00000019|B09|PLANIFICACION Y CONTROL GENERAL|3
N00000019|C01|DOCUMENTOS CIVIL|3
N00000020|A10|GERENCIA DE PROYECTO|3
N00000021|A10|GERENCIA DE PROYECTO|3
N00000022|A10|GERENCIA DE PROYECTO|3
N00000023|A10|GERENCIA DE PROYECTO|3
N00000024|A10|GERENCIA DE PROYECTO|3
N00000025|A10|GERENCIA DE PROYECTO|3
N00000026|A10|GERENCIA DE PROYECTO|3
N00000027|A10|GERENCIA DE PROYECTO|3
N00000028|A10|GERENCIA DE PROYECTO|3
N00000028|B09|PLANIFICACION Y CONTROL GENERAL|3
N00000029|A10|GERENCIA DE PROYECTO|3
